spectrum_id,material,source_file,ion_mode,mz,intensity,centroid_peak_count,peak_category,category_label,included_in_main_eval,matched,matched_formula,matched_mass_error_da,matched_mass_error_ppm,matched_formula_score
PEI_-PEI-1,PEI,data/PEI/-PEI-1.txt,negative,26.004813551043494,427.6819747245593,50,low_mass_feature,CN-,True,False,,,,
PEI_-PEI-1,PEI,data/PEI/-PEI-1.txt,negative,42.000299177252025,285.50613001495856,42,structural_candidate,,True,False,,,,
PEI_-PEI-1,PEI,data/PEI/-PEI-1.txt,negative,49.00846827641309,159.7742305800033,32,structural_candidate,,True,True,C4H,0.000643244183088143,13.125336263445957,0.6580000000000001
PEN_+PEN-1,PEN,data/PEN/+PEN-1.txt,positive,22.98901135862249,50.605158730158735,2,contaminant,Na+,False,False,,,,
PEN_+PEN-1,PEN,data/PEN/+PEN-1.txt,positive,27.022648467047564,754.1534391534392,20,low_mass_feature,C2H3+,True,True,C2H3,-0.0008266296424359609,-30.589316861664898,0.8580000000000001
PEN_+PEN-1,PEN,data/PEN/+PEN-1.txt,positive,29.03852625784114,404.97023809523813,13,low_mass_feature,C2H5+,True,True,C2H5,-0.0005989033088589224,-20.624013483028936,0.908
PEN_+PEN-1,PEN,data/PEN/+PEN-1.txt,positive,39.02242395651899,836.8154761904761,22,structural_candidate,,True,True,C3H3,-0.001051140171007603,-26.93609855101709,0.6580000000000001
PEN_+PEN-1,PEN,data/PEN/+PEN-1.txt,positive,41.038569330364396,1331.3921957671957,27,structural_candidate,,True,True,C3H5,-0.0005558307856006195,-13.543923838971134,0.6580000000000001
PEN_+PEN-1,PEN,data/PEN/+PEN-1.txt,positive,43.05475140654585,729.6924603174604,21,structural_candidate,,True,True,C3H7,-2.3819064153940417e-05,-0.5532270004692134,0.6580000000000001
PEN_+PEN-1,PEN,data/PEN/+PEN-1.txt,positive,51.022312536833645,382.99603174603175,13,structural_candidate,,True,True,C4H3,-0.0011625598563540507,-22.784803546818164,0.6580000000000001
PEN_+PEN-1,PEN,data/PEN/+PEN-1.txt,positive,55.054355655034286,638.1183862433862,19,structural_candidate,,True,True,C4H7,-0.00041957057571551104,-7.6209661014170855,0.8580000000000001
PEN_+PEN-1,PEN,data/PEN/+PEN-1.txt,positive,63.022117138019084,628.0522486772487,19,contaminant,Na2OH+,False,False,,,,
PEN_+PEN-1,PEN,data/PEN/+PEN-1.txt,positive,75.02160138184006,129.1435185185185,5,structural_candidate,,True,True,C3H7O2,-0.02300308290993769,-306.52547340352385,0.8420000000000001
PEN_+PEN-1,PEN,data/PEN/+PEN-1.txt,positive,126.04405993884694,2227.096560846561,38,structural_candidate,,True,True,C10H6,-0.002890254533056691,-22.92998385619399,0.6060000000000001
PEN_+PEN-1,PEN,data/PEN/+PEN-1.txt,positive,127.05097389610438,1317.6190476190477,31,structural_candidate,,True,True,C10H7,-0.003801329505620288,-29.918824372167844,0.744
PEN_+PEN-1,PEN,data/PEN/+PEN-1.txt,positive,132.903491453596,2594.464285714286,39,contaminant,Cs+,False,False,,,,
PEN_+PEN-1,PEN,data/PEN/+PEN-1.txt,positive,154.04028198077532,1240.5522486772486,31,structural_candidate,,True,True,C11H6O,-0.001582832174676696,-10.275337659659588,0.8260000000000001
PEN_-PEN-1,PEN,data/PEN/-PEN-1.txt,negative,1.0085090979187323,1825.433252498965,41,low_mass_background,below_min_main_mz,False,False,,,,
PEN_-PEN-1,PEN,data/PEN/-PEN-1.txt,negative,12.000290249323992,124.0965280652984,16,low_mass_background,below_min_main_mz,False,False,,,,
PEN_-PEN-1,PEN,data/PEN/-PEN-1.txt,negative,13.008190966297189,241.90374795449617,23,low_mass_background,below_min_main_mz,False,False,,,,
PEN_-PEN-1,PEN,data/PEN/-PEN-1.txt,negative,15.995549812399666,455.13968573174816,29,contaminant,O-,False,False,,,,
PEN_-PEN-1,PEN,data/PEN/-PEN-1.txt,negative,17.002998960536456,178.0848169397291,19,contaminant,OH-,False,False,,,,
PEN_-PEN-1,PEN,data/PEN/-PEN-1.txt,negative,24.000358503917628,406.0266950572741,27,low_mass_background,below_min_main_mz,False,False,,,,
