material,peak_index,mz,intensity,polarity,ion_mode,rank,rf_formula_raw,rf_formula_clean,normalized_formula,rf_exact_mz,rf_ppm,rf_score,rf_source
Nomex,421,119.9188,20664.18,+,positive,154,CHNNb⁺,CHNNb,,119.916728,-17.3,38,mols[0]
Nomex,431,121.9213,18640.26,+,positive,172,AsHNO₂⁺,AsHNO2,,121.921775,3.9,41,mols[0]
Nomex,447,125.879,1386.76,-,negative,431,AsClO⁻,AsClO,,125.885912,54.9,21,mols[0]
Nomex,449,125.9231,3960.84,+,positive,447,H₃NNbO⁺,H3NNbO,,125.927293,33.3,30,mols[0]
Nomex,454,126.9204,4552.36,-,negative,282,AsFHO₂⁻,AsFHO2,,126.918202,-17.3,34,mols[0]
Nomex,457,127.8886,4922.34,+,positive,403,CNV₂⁺,CNV2,,127.890439,14.4,33,mols[0]
Nomex,461,128.878,1999.34,-,negative,384,Al₂As⁻,Al2As,,128.885222,56.0,26,mols[0]
Nomex,462,128.8925,3529.58,+,positive,473,AsH₃V⁺,AsH3V,,128.888478,-31.2,30,mols[0]
Nomex,466,129.9311,10910.44,-,negative,160,HNO₄V⁻,HNO4V,,129.935065,30.5,30,mols[0]
Nomex,468,130.8707,1506.93,-,negative,424,Ca₂V⁻,Ca2V,,130.869688,-7.7,49,mols[0]
Nomex,474,132.8553,5053.6,-,negative,265,CaNb⁻,CaNb,,132.869518,107.0,29,mols[0]
Nomex,487,135.8956,7106.98,-,negative,222,CHNNbO⁻,CHNNbO,,135.912741,126.1,24,mols[0]
Nomex,488,135.9324,3553.34,+,positive,471,CH₃AsNO₂⁺,CH3AsNO2,,135.937425,37.0,34,mols[0]
Nomex,492,136.9076,32263.34,-,negative,80,C₂H₃AsCl⁻,C2H3AsCl,,136.914472,50.2,44,mols[0]
Nomex,496,137.8988,4533.28,-,negative,283,Ba⁻,Ba,,137.905796,50.7,62,mols[0]
Nomex,497,137.9168,11954.83,+,positive,249,AsHNO₃⁺,AsHNO3,,137.91669,-0.8,45,mols[0]
Nomex,500,138.9003,4952.72,-,negative,268,La⁻,La,,138.906902,47.5,78,mols[0]
Nomex,501,138.9191,6083.47,+,positive,359,La⁺,La,,138.905804,-95.7,64,mols[0]
Nomex,504,139.9157,5911.03,+,positive,365,HLa⁺,HLa,,139.913629,-14.8,61,mols[0]
Nomex,507,140.8915,2164.54,-,negative,374,NbO₃⁻,NbO3,,140.891672,1.2,39,mols[0]
Nomex,508,140.9115,6186.14,+,positive,356,Pr⁺,Pr,,140.907104,-31.2,74,mols[0]
Nomex,514,142.9023,3470.06,+,positive,476,CHCdO⁺,CHCdO,,142.905549,22.7,46,mols[0]
Nomex,522,144.8515,8140.02,-,negative,197,HNbV⁻,HNbV,,144.858709,49.8,27,mols[0]
Nomex,527,145.9075,44309.29,-,negative,64,AsH₆NV⁻,AsH6NV,,145.916125,59.1,25,mols[0]
Nomex,556,152.8991,9635.21,-,negative,174,CNbO₃⁻,CNbO3,,152.891672,-48.6,35,mols[0]
Nomex,559,153.9042,7286.23,+,positive,323,CeN⁺,CeN,,153.907964,24.5,36,mols[0]
Nomex,574,158.8624,2131.93,+,positive,553,CH₃NbV⁺,CH3NbV,,158.873261,68.4,24,mols[0]
Nomex,575,158.9151,7904.43,-,negative,204,Tb⁻,Tb,,158.925896,67.9,68,mols[0]
Nomex,584,160.8932,6250.39,+,positive,354,BaNa⁺,BaNa,,160.894467,7.9,46,mols[0]
Nomex,595,163.8489,1921.86,+,positive,568,CH₂As₂⁺,CH2As2,,163.858291,57.3,22,mols[0]
Nomex,599,164.8548,3318.68,+,positive,481,Cl₂H₂Nb⁺,Cl2H2Nb,,164.859185,26.6,35,mols[0]
Nomex,600,164.8901,3283.55,-,negative,326,MgPr⁻,MgPr,,164.893244,19.1,42,mols[0]
Nomex,603,165.8608,6292.69,+,positive,351,O₄V₂⁺,O4V2,,165.867025,37.5,19,mols[0]
Nomex,605,165.9503,4106.51,-,negative,296,C₃H₇NNbO⁻,C3H7NNbO,,165.959691,56.6,36,mols[0]
Nomex,617,169.8962,3826.27,-,negative,301,BaO₂⁻,BaO2,,169.895626,-3.4,33,mols[0]
Nomex,621,170.8614,3589.1,-,negative,310,CAsCl₂N⁻,CAsCl2N,,170.862924,8.9,29,mols[0]
Nomex,624,171.902,6291.57,-,negative,243,HLaO₂⁻,HLaO2,,171.904557,14.9,27,mols[0]
Nomex,637,175.8599,4830.15,+,positive,409,C₂H₂As₂⁺,C2H2As2,,175.858291,-9.1,30,mols[0]
Nomex,644,177.8621,5695.5,+,positive,378,BaCa⁺,BaCa,,177.867289,29.2,32,mols[0]
Nomex,648,178.864,5923.83,+,positive,364,CaLa⁺,CaLa,,178.868395,24.6,52,mols[0]
Nomex,651,179.8465,2364.39,+,positive,537,AsCl₃⁺,AsCl3,,179.827605,-105.1,0,mols[0]
Nomex,655,180.8566,1359.91,-,negative,435,CaPr⁻,CaPr,,180.870793,78.5,32,mols[0]
Nomex,662,182.8574,2502.84,-,negative,358,HO₅V₂⁻,HO5V2,,182.870863,73.6,13,mols[0]
Nomex,679,187.8971,4927.6,-,negative,270,HLaO₃⁻,HLaO3,,187.899472,12.6,31,mols[0]
Nomex,682,188.8275,3599.56,+,positive,468,AsCd⁺,AsCd,,188.824404,-16.4,40,mols[0]
Nomex,683,188.8332,1289.63,-,negative,438,AsCd⁻,AsCd,,188.825502,-40.8,35,mols[0]
Nomex,686,189.8264,1143.51,-,negative,455,Cl₂H₂OV₂⁻,Cl2H2OV2,,189.836734,54.4,15,mols[0]
Nomex,690,190.8307,982.47,-,negative,466,Cl₄V⁻,Cl4V,,190.819918,-56.5,24,mols[0]
Nomex,691,190.9051,9502.81,+,positive,283,H₂O₃Pr⁺,H2O3Pr,,190.907499,12.6,41,mols[0]
Nomex,697,192.8526,8210.7,+,positive,311,CHAsCl₃⁺,CHAsCl3,,192.83543,-89.0,33,mols[0]
Nomex,700,193.8521,4153.11,+,positive,435,AsCl₂HO₃⁺,AsCl2HO3,,193.851322,-4.0,26,mols[0]
Nomex,721,201.8509,3030.03,-,negative,337,CH₄Nb₂⁻,CH4Nb2,,201.844605,-31.2,23,mols[0]
Nomex,738,208.9702,30120.25,+,positive,112,Bi⁺,Bi,,208.97985,46.2,72,mols[0]
Nomex,755,214.8251,3646.51,+,positive,462,AsCe⁺,AsCe,,214.826485,6.4,42,mols[0]
Nomex,763,217.8337,1144.57,-,negative,454,BaCa₂⁻,BaCa2,,217.830978,-12.5,26,mols[0]
Nomex,767,218.795,6305.05,+,positive,349,CH₃V₄⁺,CH3V4,,218.798754,17.2,32,mols[0]
Nomex,778,224.822,3243.42,+,positive,486,Cl₂LaO⁺,Cl2LaO,,224.838425,73.1,21,mols[0]
Nomex,788,228.8893,6631.71,-,negative,234,C₄H₄AsCl₂O₂⁻,C4H4AsCl2O2,,228.88098,-36.3,40,mols[0]
Nomex,791,230.8723,2312.85,-,negative,366,CLaO₅⁻,CLaO5,,230.881477,39.7,36,mols[0]
Nomex,794,232.8295,3657.58,+,positive,461,BaH₂Nb⁺,BaH2Nb,,232.826726,-11.9,37,mols[0]
Nomex,805,238.0414,12515.34,+,positive,242,U⁺,U,,238.050239,37.1,63,mols[0]
Nomex,808,239.8182,3692.34,+,positive,458,AlCaNbO₅⁺,AlCaNbO5,,239.824534,26.4,20,mols[0]
Nomex,828,254.8521,2590.66,+,positive,526,AlCeMgO₄⁺,AlCeMgO4,,254.851131,-3.8,34,mols[0]
Nomex,863,272.7995,748.22,-,negative,488,CeCs⁻,CeCs,,272.81144,43.8,37,mols[0]
Nomex,907,296.8694,28125.7,-,negative,89,C₂H₂CeClO₆⁻,C2H2CeClO6,,296.859981,-31.7,41,mols[0]
Nomex,995,350.8149,16470.79,-,negative,127,C₅H₉Cl₅NNb⁻,C5H9Cl5NNb,,350.824691,27.9,13,mols[0]
Nomex,998,352.8114,8034.6,-,negative,201,C₂H₅Cd₂O₆⁻,C2H5Cd2O6,,352.81588,12.7,18,mols[0]
Nomex,1031,373.0375,2196.82,+,positive,549,C₃H₃O₆U⁺,C3H3O6U,,373.043204,15.3,45,mols[0]
Nomex,1053,389.0537,2528.9,+,positive,528,C₆H₁₂BiO₆⁺,C6H12BiO6,,389.04324,-26.9,42,mols[0]
Nomex,1075,405.0684,1906.54,+,positive,569,C₁₂H₂₄O₆Pr⁺,C12H24O6Pr,,405.064394,-9.9,38,mols[0]
Nomex,1168,558.7727,2631.78,-,negative,352,C₄CaCeLaO₁₂⁻,C4CaCeLaO12,,558.713912,-105.2,22,mols[0]
Nomex,1173,598.7714,605.11,-,negative,496,C₃H₃La₂N₃O₁₅⁻,C3H3La2N3O15,,598.769677,-2.9,19,mols[0]
Nomex,1180,642.895,938.17,+,positive,643,Bi₃O⁺,Bi3O,,642.935563,63.1,32,mols[0]
Nomex,1181,658.8942,2295.9,+,positive,542,Bi₃O₂⁺,Bi3O2,,658.930478,55.1,37,mols[0]
Nomex,1182,674.894,1729.53,+,positive,580,Bi₃O₃⁺,Bi3O3,,674.925393,46.5,38,mols[0]
